accuracy,loss,val_accuracy,val_loss,learning_rate
0.1952054798603058,2.8597028255462646,0.4612903296947479,1.6439913511276245,9.999999747378752e-05
0.36130136251449585,2.0704843997955322,0.5967742204666138,1.1775660514831543,9.999999747378752e-05
0.469748854637146,1.6305116415023804,0.6193548440933228,1.0834392309188843,9.999999747378752e-05
0.5296803712844849,1.4463465213775635,0.6838709712028503,0.9743895530700684,9.999999747378752e-05
0.5764840245246887,1.2875934839248657,0.6903225779533386,0.9177774786949158,9.999999747378752e-05
0.5993150472640991,1.1832726001739502,0.7387096881866455,0.7813515067100525,9.999999747378752e-05
0.6535388231277466,1.0314654111862183,0.7645161151885986,0.7129888534545898,9.999999747378752e-05
0.6866438388824463,0.9338635802268982,0.774193525314331,0.6377893686294556,9.999999747378752e-05
0.6923515796661377,0.9262650609016418,0.8032258152961731,0.590850293636322,9.999999747378752e-05
0.7265982031822205,0.8039638996124268,0.8290322422981262,0.5601941347122192,9.999999747378752e-05
0.7448630332946777,0.7547250390052795,0.8419354557991028,0.5047645568847656,9.999999747378752e-05
0.7694063782691956,0.6883032321929932,0.8419354557991028,0.490705668926239,9.999999747378752e-05
0.7642694115638733,0.6731629371643066,0.8903225660324097,0.4099291265010834,9.999999747378752e-05
0.7773972749710083,0.6755963563919067,0.8774193525314331,0.4026145339012146,9.999999747378752e-05
0.8082191944122314,0.5677803754806519,0.8774193525314331,0.37485063076019287,9.999999747378752e-05
0.8059360980987549,0.5488921403884888,0.9064516425132751,0.3534547984600067,9.999999747378752e-05
0.8253424763679504,0.5275418162345886,0.8870967626571655,0.34825390577316284,9.999999747378752e-05
0.831620991230011,0.5052022933959961,0.9129032492637634,0.3365999460220337,9.999999747378752e-05
0.8544520735740662,0.46132850646972656,0.9193548560142517,0.2827191650867462,9.999999747378752e-05
0.8510273694992065,0.4447765350341797,0.9064516425132751,0.2816601097583771,9.999999747378752e-05
0.8601598143577576,0.41638612747192383,0.9193548560142517,0.25929588079452515,9.999999747378752e-05
0.8698630332946777,0.41371726989746094,0.9225806593894958,0.256152480840683,9.999999747378752e-05
0.8681507110595703,0.40826451778411865,0.9193548560142517,0.24737009406089783,9.999999747378752e-05
0.861872136592865,0.38587480783462524,0.92580646276474,0.2244860678911209,9.999999747378752e-05
0.8909817337989807,0.3651011884212494,0.9322580695152283,0.22890494763851166,9.999999747378752e-05
0.8835616707801819,0.3405804932117462,0.9225806593894958,0.22723089158535004,9.999999747378752e-05
0.909246563911438,0.3107091188430786,0.9322580695152283,0.19993580877780914,9.999999747378752e-05
0.8926940560340881,0.3258996307849884,0.9225806593894958,0.20740821957588196,9.999999747378752e-05
0.9109588861465454,0.2956961691379547,0.9387096762657166,0.1991748809814453,9.999999747378752e-05
0.9063926935195923,0.28308016061782837,0.9419354796409607,0.17595414817333221,9.999999747378752e-05
0.914383590221405,0.27385419607162476,0.948387086391449,0.15392598509788513,9.999999747378752e-05
0.914383590221405,0.28710541129112244,0.9387096762657166,0.16224020719528198,9.999999747378752e-05
0.9103881120681763,0.2671348750591278,0.9451612830162048,0.1586238145828247,9.999999747378752e-05
0.9189497828483582,0.26043805480003357,0.9419354796409607,0.15600591897964478,9.999999747378752e-05
0.926369845867157,0.24138085544109344,0.9419354796409607,0.16191577911376953,9.999999747378752e-05
0.9189497828483582,0.24436958134174347,0.9451612830162048,0.15341156721115112,9.999999747378752e-05
